,Name,Country,revid,0,Population,article_quality
21719,Philippe de Commines,Belgium,805273109,C,11211064,C
21720,Paul de Smet de Naeyer,Belgium,805383198,Start,11211064,Start
21721,Louis-Joseph Seutin,Belgium,805425661,Start,11211064,Start
21722,Albert Joseph Goblet d'Alviella,Belgium,805511986,Start,11211064,Start
21723,Bart De Wever,Belgium,805597760,C,11211064,C
21724,Joseph Bologne (politician),Belgium,806079164,Stub,11211064,Stub
21725,Jacques Grippa,Belgium,806148939,Stub,11211064,Stub
21726,Petra De Sutter,Belgium,806208373,Start,11211064,Start
21727,Goedele Vermeiren,Belgium,806209048,Stub,11211064,Stub
21728,Théophile de Lantsheere,Belgium,806498397,Start,11211064,Start
21729,Hippolyte d'Ursel,Belgium,806534627,Start,11211064,Start
21730,Maggie De Block,Belgium,806571552,Start,11211064,Start
21731,Elio Di Rupo,Belgium,806653220,C,11211064,C
21732,Joseph Van Crombrugghe,Belgium,806835426,Stub,11211064,Stub
21733,Louis of Praet,Belgium,807198658,Start,11211064,Start
21734,Gwendolyn Rutten,Belgium,807221197,Stub,11211064,Stub
21735,François Roelants du Vivier,Belgium,807234831,Stub,11211064,Stub
21736,Catherine Fonck,Belgium,807245163,Start,11211064,Start
21737,Fernand Demets,Belgium,807254112,Stub,11211064,Stub
21738,Annemie Neyts-Uyttebroeck,Belgium,807357497,Start,11211064,Start
21739,Jacques Brotchi,Belgium,807468820,C,11211064,C
21740,Template:Italy-mayor-stub,Italy,446196171,Stub,62466780,Stub
21741,Template:Italy-diplomat-stub,Italy,540996332,Stub,62466780,Stub
21742,Template:Italy-activist-stub,Italy,559149314,Stub,62466780,Stub
21743,Template:Italy-politician-stub,Italy,560300020,Stub,62466780,Stub
21744,Angelo Staniscia,Italy,669835390,Stub,62466780,Stub
21745,Giuseppe Fenaroli Avogadro,Italy,684464777,Stub,62466780,Stub
21746,Giovanni Bovara,Italy,684821806,Start,62466780,Start
21747,Mario Occhiuto,Italy,689944992,Stub,62466780,Stub
21748,Michele Columbu,Italy,693748230,Stub,62466780,Stub
21749,Uguccione della Faggiuola,Italy,705272416,Stub,62466780,Stub
21750,Antonio Berti (senator),Italy,705322126,Stub,62466780,Stub
21751,Ernesto Rossi (politician),Italy,706015433,Stub,62466780,Stub
21752,Cesare Correnti,Italy,706211513,Start,62466780,Start
21753,Markward von Annweiler,Italy,706828186,Start,62466780,Start
21754,Luca Casarini,Italy,707349953,Stub,62466780,Stub
21755,William of Capparone,Italy,707662122,Start,62466780,Start
21756,Isnardo Guarco,Italy,709212716,Stub,62466780,Stub
21757,David Levi (Italy),Italy,710506080,Start,62466780,Start
21758,Rosario Olivo,Italy,710741222,Stub,62466780,Stub
21759,Ubaldo Buttafava,Italy,712075709,Stub,62466780,Stub
21760,Carlo Verri,Italy,712152693,Stub,62466780,Stub
21761,Agostino Chiodo,Italy,712368516,Stub,62466780,Stub
21762,Carlo Cicuttini,Italy,712661063,Start,62466780,Start
21763,Pietro Scoppola,Italy,712859381,Stub,62466780,Stub
21764,Vincenzo Caianiello,Italy,712909480,Stub,62466780,Stub
21765,Maurizio Lotti,Italy,712913460,Stub,62466780,Stub
21766,Vincenzo Massilla,Italy,712953402,Start,62466780,Start
21767,Gino Bucchino,Italy,712960046,Stub,62466780,Stub
21768,Giovanni Scuderi,Italy,713103942,Start,62466780,Start
21769,Giacomo Medici (general),Italy,713119849,Stub,62466780,Stub
21770,Michele Angelo Cianciulli,Italy,713256950,Stub,62466780,Stub
21771,Camille Blanc,Italy,713345840,Start,62466780,Start
21772,Giovanni Rinaldo Coronas,Italy,713358204,Stub,62466780,Stub
21773,Francesco Forgione (politician),Italy,713473671,Stub,62466780,Stub
21774,Meuccio Ruini,Italy,713841191,Stub,62466780,Stub
21775,Umberto Zanotti Bianco,Italy,713841237,Stub,62466780,Stub
21776,Guglielmo Picchi,Italy,714317479,Stub,62466780,Stub
21777,Alberto Giorgetti,Italy,714429847,Stub,62466780,Stub
21778,Francesco Coppola,Italy,714996923,Start,62466780,Start
21779,Nerio Giovanazzi,Italy,715255368,Stub,62466780,Stub
21780,Carlo Fadda,Italy,715465186,Stub,62466780,Stub
21781,Oliverotto Euffreducci,Italy,715493069,Start,62466780,Start
21782,Carlo Ginori,Italy,716100141,Stub,62466780,Stub
21783,Sergio Chiamparino,Italy,716244553,Stub,62466780,Stub
21784,Pandolfo Petrucci,Italy,716381187,Start,62466780,Start
21785,Opicino Spinola,Italy,716696406,Stub,62466780,Stub
21786,Battista Spinola,Italy,716696548,Stub,62466780,Stub
21787,Mario Maiolo,Italy,717111801,Stub,62466780,Stub
21788,Alessandro Dudan,Italy,717184100,Start,62466780,Start
21789,Giovanni Paterniti,Italy,717266654,Stub,62466780,Stub
21790,Giacomo Maria Brignole,Italy,717334705,Stub,62466780,Stub
21791,Aurelio Saliceti,Italy,717400366,Stub,62466780,Stub
21792,Giacinto Collegno,Italy,717441043,Stub,62466780,Stub
21793,John Fabriacus,Italy,717530372,Stub,62466780,Stub
21794,Puccio Pucci (politician),Italy,717575032,Stub,62466780,Stub
21795,Riccardo Sarfatti,Italy,717625035,Start,62466780,Start
21796,Vittorio Claudio Surdo,Italy,717906730,Stub,62466780,Stub
21797,Alvise Pisani,Italy,718131109,Stub,62466780,Stub
21798,Bartolomeo Panciatichi,Italy,718400728,Start,62466780,Start
21799,Pandolfo Savelli,Italy,718450827,Stub,62466780,Stub
21800,Ulisse Dini,Italy,718606666,Start,62466780,Start
21801,Angelo Vassallo,Italy,718776009,Stub,62466780,Stub
21802,Elio Vito,Italy,718958697,Stub,62466780,Stub
21803,Francesco Vettori,Italy,719059117,Stub,62466780,Stub
21804,Giustino Fortunato,Italy,719937371,Start,62466780,Start
21805,Monaldo Leopardi,Italy,719988911,Stub,62466780,Stub
21806,Girolamo Simoncelli (1817–1852),Italy,720340518,Stub,62466780,Stub
21807,Lucio D'Ubaldo,Italy,720507685,Stub,62466780,Stub
21808,Girolamo Cappello,Italy,720518143,Stub,62466780,Stub
21809,Corrado Clini,Italy,720924947,Start,62466780,Start
21810,Piero Gnudi,Italy,720929905,Stub,62466780,Stub
21811,Giovanni Battista Balbis,Italy,721056103,Stub,62466780,Stub
21812,Manfredo Manfredi,Italy,721135001,Stub,62466780,Stub
21813,Luigi Pizzardi,Italy,721205135,Stub,62466780,Stub
21814,Camillo Casarini,Italy,721250736,Stub,62466780,Stub
21815,Guido Carli,Italy,721604280,Stub,62466780,Stub
21816,Maria Rygier,Italy,721669643,Start,62466780,Start
21817,Augusto Pierantoni,Italy,721703490,Start,62466780,Start
21818,Tommaso Bisagno,Italy,722362435,Stub,62466780,Stub
21819,Massimo Andrea Leggeri,Italy,722586904,Stub,62466780,Stub
21820,Gratus (consul 280),Italy,722956416,Stub,62466780,Stub
21821,Vettius Gratus (consul 250),Italy,722956986,Stub,62466780,Stub
21822,List of Italian convicted MPs,Italy,723183335,C,62466780,C
21823,Cicco Simonetta,Italy,723577845,B,62466780,B
21824,Pompeo Gabrielli,Italy,723640156,Start,62466780,Start
21825,Vincenzo Fontana (politician),Italy,724288447,Stub,62466780,Stub
21826,Mino Celsi,Italy,725363564,Stub,62466780,Stub
21827,Angelo Raffaele Dinardo,Italy,725369423,Stub,62466780,Stub
21828,Filippo Mariotti,Italy,725392930,Stub,62466780,Stub
21829,Gabriele Adinolfi,Italy,725622613,Start,62466780,Start
21830,Ermanno Gorrieri,Italy,726263404,Stub,62466780,Stub
21831,Niccolò Ghedini,Italy,726535415,Stub,62466780,Stub
21832,Francesco II Sforza,Italy,726681143,Start,62466780,Start
21833,Samuel Alatri,Italy,726751530,Start,62466780,Start
21834,Antonio Aldini,Italy,727133582,Stub,62466780,Stub
21835,Leone Wollemborg,Italy,727404597,Start,62466780,Start
21836,Henri Cernuschi,Italy,727617316,Start,62466780,Start
21837,Bonincontro Morigia,Italy,727837605,Start,62466780,Start
21838,Renzo Marangon,Italy,728839543,Stub,62466780,Stub
21839,"Gennaro Spinelli, Prince of Cariati",Italy,729001576,Start,62466780,Start
21840,Giovanni II Participazio,Italy,729693747,Stub,62466780,Stub
21841,Giovanni I Participazio,Italy,729693756,Start,62466780,Start
21842,Giovanni Battista Sommariva,Italy,729991639,Stub,62466780,Stub
21843,List of Italian politicians,Italy,730014800,Stub,62466780,Stub
21844,Maria Goia,Italy,732070138,Stub,62466780,Stub
21845,Giovanni Conti (politician),Italy,732155571,Stub,62466780,Stub
21846,Giovanni Paradisi,Italy,732466394,Stub,62466780,Stub
21847,Loris Fortuna,Italy,733078880,Start,62466780,Start
21848,Bonaldo Stringher,Italy,733101881,Start,62466780,Start
21849,Secretary of the Democrats of the Left,Italy,733597051,Stub,62466780,Stub
21850,Sallustio Bandini,Italy,733787955,Stub,62466780,Stub
21851,Ugo da Parlascio Ebriaco,Italy,733990419,Stub,62466780,Stub
21852,Pietro Moscati,Italy,734550538,Stub,62466780,Stub
21853,Lorenzo Celsi,Italy,735232646,Stub,62466780,Stub
21854,Emidio Massi,Italy,735557367,Stub,62466780,Stub
